ADMINISTRADORA;TIPO CARTAO;PARCELAMENTO;DATA DA VENDA;DATA RECEBIMENTO; VALOR ;BANDEIRA;PARCELAS;LANCAMENTO;CNPJ
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;40,00;VISA                ;1/1;27746151;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27746154;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;52,47;MASTERCARD          ;1/4;27746166;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;52,47;MASTERCARD          ;2/4;27746167;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;52,47;MASTERCARD          ;3/4;27746168;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;52,47;MASTERCARD          ;4/4;27746169;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;79,96;VISA                ;1/1;27746180;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;19,96;MASTERCARD          ;1/2;27746199;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,96;MASTERCARD          ;2/2;27746200;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;157,88;VISA ELECTRON;1/1;27746209;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,88;VISA                ;1/1;27746214;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;VISA ELECTRON;1/1;27746221;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;349,64;VISA ELECTRON;1/1;27746223;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;34,94;MASTERCARD          ;1/2;27746228;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;34,94;MASTERCARD          ;2/2;27746229;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;29,96;MASTERCARD          ;1/2;27746242;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;29,96;MASTERCARD          ;2/2;27746243;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,96;VISA ELECTRON;1/1;27746250;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27746251;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;VISA ELECTRON;1/1;27746255;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27746262;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;119,88;VISA ELECTRON;1/1;27746272;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;99,96;MAESTRO             ;1/1;27746284;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,96;VISA                ;1/1;27746289;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;269,84;VISA                ;1/1;27746294;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;74,88;VISA                ;1/1;27746300;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;19,92;MASTERCARD          ;1/2;27746302;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,92;MASTERCARD          ;2/2;27746303;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;9,96;MASTERCARD          ;1/1;27746306;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;VISA ELECTRON;1/1;27746318;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;44,92;VISA                ;1/1;27746328;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;79,96;VISA                ;1/1;27746336;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;30,00;MAESTRO             ;1/1;27746337;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27746340;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;44,96;MASTERCARD          ;1/4;27746353;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;44,96;MASTERCARD          ;2/4;27746354;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;44,96;MASTERCARD          ;3/4;27746355;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;44,96;MASTERCARD          ;4/4;27746356;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27746358;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,96;VISA                ;1/1;27746388;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;VISA ELECTRON;1/1;27746391;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;269,92;MASTERCARD          ;1/1;27746424;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;179,96;VISA ELECTRON;1/1;27746425;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,96;MASTERCARD          ;1/1;27746427;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;49,92;VISA ELECTRON;1/1;27746432;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;VISA ELECTRON;1/1;27746433;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;69,88;VISA                ;1/1;27746434;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;34,90;MASTERCARD          ;1/2;27746437;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;34,90;MASTERCARD          ;2/2;27746438;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;VISA ELECTRON;1/1;27746457;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;MAESTRO             ;1/1;27746459;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27746475;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27746478;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;VISA ELECTRON;1/1;27746481;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;34,99;MASTERCARD          ;1/4;27746491;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;34,99;MASTERCARD          ;2/4;27746492;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;34,99;MASTERCARD          ;3/4;27746493;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;34,99;MASTERCARD          ;4/4;27746494;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,92;VISA                ;1/1;27746501;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;MAESTRO             ;1/1;27746505;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;9,96;MASTERCARD          ;1/1;27746519;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,90;VISA ELECTRON;1/1;27746521;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27746527;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;39,92;VISA                ;1/2;27746534;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;39,92;VISA                ;2/2;27746535;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27746549;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;99,96;MAESTRO             ;1/1;27746557;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;16,64;VISA                ;1/3;27757440;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;16,64;VISA                ;2/3;27757441;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;16,64;VISA                ;3/3;27757443;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,92;MASTERCARD          ;1/1;27746585;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,88;VISA                ;1/1;27746587;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;16,65;VISA                ;2/3;27758799;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;16,65;VISA                ;3/3;27758800;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;16,66;VISA                ;1/3;27758798;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,96;VISA                ;1/1;27746614;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27746615;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,92;VISA                ;1/1;27746618;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,88;MAESTRO             ;1/1;27746624;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;MAESTRO             ;1/1;27746632;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;244,88;VISA ELECTRON;1/1;27746634;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,96;VISA ELECTRON;1/1;27746638;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;49,96;VISA                ;1/1;27746662;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;99,96;MASTERCARD          ;1/1;27746663;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;49,96;VISA ELECTRON;1/1;27746669;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;79,96;VISA ELECTRON;1/1;27746677;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;9,96;VISA ELECTRON;1/1;27746682;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;VISA ELECTRON;1/1;27746708;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;37,96;MASTERCARD          ;1/1;27746710;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,96;MAESTRO             ;1/1;27746736;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;47,46;VISA                ;1/4;27746754;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;47,46;VISA                ;2/4;27746755;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;47,46;VISA                ;3/4;27746756;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;47,46;VISA                ;4/4;27746757;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27746765;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;54,98;MASTERCARD          ;1/2;27746777;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;54,98;MASTERCARD          ;2/2;27746778;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;4,96;VISA ELECTRON;1/1;27746801;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;49,78;VISA ELECTRON;1/1;27746803;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;159,96;VISA                ;1/1;27746811;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;MASTERCARD          ;1/1;27746815;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;VISA ELECTRON;1/1;27746831;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,92;VISA ELECTRON;1/1;27746843;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;MAESTRO             ;1/1;27746866;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27746887;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;99,84;MASTERCARD          ;1/1;27746933;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;VISA ELECTRON;1/1;27746954;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;20,00;VISA ELECTRON;1/1;27746977;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,92;VISA ELECTRON;1/1;27746981;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;193,96;VISA ELECTRON;1/1;27746993;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;32,48;MASTERCARD          ;1/4;27746995;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;32,48;MASTERCARD          ;2/4;27746996;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;32,48;MASTERCARD          ;3/4;27746997;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;32,48;MASTERCARD          ;4/4;27746998;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;79,92;MAESTRO             ;1/1;27747011;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;72,49;VISA;1/4;27747020;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;72,49;VISA;2/4;27747022;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;72,49;VISA;3/4;27747024;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;72,49;VISA;4/4;27747025;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;149,96;VISA ELECTRON;1/1;27747032;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;169,84;VISA                ;1/1;27747053;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;VISA ELECTRON;1/1;27747055;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;9,96;VISA                ;1/1;27747057;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,88;VISA ELECTRON;1/1;27747066;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,96;VISA                ;1/1;27747083;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;59,98;VISA                ;1/2;27747086;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;59,98;VISA                ;2/2;27747087;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;MAESTRO             ;1/1;27747102;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;VISA ELECTRON;1/1;27747106;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,96;MASTERCARD          ;2/3;27754447;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;19,96;MASTERCARD          ;3/3;27754448;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,98;MASTERCARD          ;2/3;27747110;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,92;MASTERCARD          ;1/1;27747122;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27747147;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;9,96;VISA                ;1/1;27747149;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;10,00;MAESTRO             ;1/1;27747173;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27747184;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;MASTERCARD          ;1/1;27747195;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,96;VISA                ;1/1;27747198;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;VISA ELECTRON;1/1;27747201;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27747214;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,96;VISA ELECTRON;1/1;27747221;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;64,97;MASTERCARD          ;1/4;27747223;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;64,97;MASTERCARD          ;2/4;27747224;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;64,97;MASTERCARD          ;3/4;27747226;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;64,97;MASTERCARD          ;4/4;27747227;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,92;MASTERCARD          ;1/1;27747241;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;79,96;VISA                ;1/1;27747245;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27747268;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,92;MAESTRO             ;1/1;27747272;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27747294;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;75,92;MAESTRO             ;1/1;27747299;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;139,96;VISA                ;1/1;27747302;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;29,98;VISA                ;1/2;27747306;1,71704E+13
